district,cidrs,also_tier1,k12_ptr_found,k12_ptr_count,sample_ptr
Albany Schoharie Schenectady BOCES,163.153.0.0/16,no,no,0,
BOCES,199.221.4.0/24 | 4.43.108.64/27,no,no,0,
BOCES Southern Westchester Lower Hudson Regional Information Center,166.109.0.0/16,no,no,0,
Beacon Central School District,64.72.66.64/28,no,no,0,
BrockportCentral School District,206.181.202.192/26,no,no,0,
Broome - Tioga BOCES,216.162.16.0/20,no,no,0,
Canandaigua City School District,72.18.53.224/27,no,no,0,
Clarkstown Central School District,70.34.80.0/20,no,no,0,
Dutchess County BOCES,207.241.240.0/20,no,no,0,
Eastern Suffolk BOCES,170.161.0.0/16,no,no,0,
GV/WFL BOCES Educational TechnologyService,209.68.64.0/18,no,no,0,
Greater Southern Tier (GST) BOCES,192.30.126.0/23,no,no,0,
Greece Central School District,206.209.176.0/20,no,no,0,
Huntington Union Free School District,206.226.138.0/24,no,no,0,
Kenmore-Town of Tonawanda Union Free School District,198.199.181.0/24 | 204.27.0.0/20,no,yes,3,admfin.kenton.k12.ny.us
Madison-Oneida BOCES,168.170.0.0/16 | 198.252.164.0/24,no,no,0,
Malverne Union Free School District,104.166.122.0/24 | 23.179.48.0/24,no,no,0,
Monroe-Woodbury Central School District,209.222.32.0/20,no,yes,50,mwcsd-209-222-32-1.mw.k12.ny.us
NYC BOARD OF EDUCATION,63.116.202.16/28 | 65.211.30.240/28,no,no,0,
Northport-East Northport Union Free School District,205.230.186.0/23 | 205.230.188.0/22,no,no,0,
Nysernet/NYC Board of Education,209.2.110.0/23 | 209.2.12.0/23,no,no,0,
Orange-Ulster BOCES,64.90.240.0/20,no,no,0,
Rochester City School District,23.190.208.0/24,no,no,0,
Sachem Central School District,206.201.208.0/20,no,no,0,
Smithtown Union Free School District,206.226.143.0/24,no,no,0,
South Huntington Union Free School District,206.226.139.0/24,no,no,0,
Syracuse City School District,198.36.16.0/21 | 198.36.24.0/22 | 198.36.18.0/24 | 198.36.20.0/24 | 198.36.21.0/24 | 198.36.22.0/24 | 198.36.23.0/24 | 198.36.25.0/24 | 198.36.26.0/24 | 198.36.27.0/24,no,no,0,
Ulster County BOCES,209.2.245.0/24 | 64.75.64.0/18,no,no,0,
WASHINGTON SARATOGA WARREN HAMILTON & ESSEX BOCES,64.69.224.0/20,no,no,0,
Western Suffolk BOCES,206.226.128.0/17,no,no,0,
